price,status,items_sold,shipping,name,free_returns
62000,Pre-Owned,,4060,Microsoft Xbox Series X 1TB Video Game Console - Black,False
80650,Pre-Owned,,2000,Microsoft XBOX SERIES X - USED,False
49500,Pre-Owned,,,New ListingMicrosoft Xbox Series X 1TB Video Game Console - Black (incl. Sea of Thieves) ,False
60000,Brand New,,2647,New ListingSHIPS SAME DAY - Unopened Microsoft Xbox Series X 1TB Video Game Console - Black,False
81000,Brand New,,5000,Microsoft Xbox Series X 1TB Video Game Console - Black,False
79900,Brand New,,0,Microsoft Xbox Series X 1TB Video Game Console - Black,False
72000,Pre-Owned,,1595,XBOX series X console Bundle,False
71000,Brand New,,2975,Xbox Series X 1TB Video Game Console - Black. Ready to ship,False
84900,Refurbished,151,0,Microsoft Xbox Series X 1TB Console - Black,True
83500,Brand New,,3520,Xbox series X console Brand new,False
68000,Pre-Owned,,3465,Microsoft Xbox Series X 1TB Video Game Console - Black,False
66000,Open Box,,5000,Microsoft Xbox Series X 1TB Video Game Console - Black,False
71000,Open Box,,2000,Microsoft Xbox Series X 1TB Video Game Console - Black,False
67000,Pre-Owned,,3954,Microsoft Xbox Series X 1TB Video Game Console - Black,False
69000,Brand New,,0,New ListingMicrosoft Xbox Series X 1TB Video Game Console - Black,False
56000,Pre-Owned,,750,Microsoft Xbox Series X 1TB Video Game Console - Black,False
76000,Brand New,,0,Microsoft Xbox Series X 1TB Video Game Console - Black,False
73000,Brand New,,5000,Microsoft Xbox Series X 1TB Video Game Console - Black | SEALED BOX,False
61000,Open Box,,3642,Microsoft Xbox Series X 1TB Video Game Console - Black,False
65100,Pre-Owned,,1895,Microsoft Xbox Series X 1TB Video Game Console - Black,False
79000,Brand New,,0,BRAND NEW SEALED Microsoft Xbox Series X 1TB - Black,False
72000,Brand New,,2000,Microsoft Xbox Series X 1TB Video Game Console - Black,False
67000,Brand New,,1000,Microsoft Xbox Series X 1TB Video Game Console - Black,False
79100,Brand New,,5867,Microsoft Xbox Series X Video Game Console FAR CRY 6 Bundle - NEW✅- SHIPS FAST🔥,True
71500,Brand New,,3000,Microsoft XBOX Series X 1TB Game Console Black * Brand New *,False
72000,Brand New,,,New - Microsoft Xbox Series X 1TB Video Game Console - Black - Unopened,False
71000,Brand New,,7000,Microsoft Xbox Series X 1TB Video Game Console - Black,False
72000,Brand New,,3695,Microsoft Xbox Series X 1TB Video Game Console - Black,False
67000,Pre-Owned,,1270,1TB Xbox Series X Console (Had since July 2021) hardly used - MFD: May 2021,False
69000,Open Box,,5590,Microsoft Xbox Series X 1TB Video Game Console - Black,False
100500,Open Box,,1500,Microsoft Xbox Series X 1TB Video Game Console - Black,False
68500,Pre-Owned,,1500,Microsoft Xbox Series X 1TB Video Game Console - Black - Ships within 24 Hours,False
81000,Brand New,,7465,Unopened Microsoft Xbox Series X 1TB Video Game Console - Black,False
72000,Pre-Owned,,1699,"New ListingXBOX Series X console Bundle- 8 Games, Series X Controller, Excellent Condition!",False
77200,Pre-Owned,,6750,"Microsoft Xbox Series X 1TB Console - Black - Excellent Condition, Complete",False
73000,Brand New,,1185,xbox series x console brand new,False
85000,Open Box,,3140,New ListingMicrosoft Xbox Series X 1TB Video Game Console - Black,False
102000,Brand New,,0,Xbox Series X Halo Infinite Limited Edition Bundle🔥*PRE ORDER* PRESALE CONSOLE,False
105900,Brand New,,0,Microsoft Xbox Series X Bundle with Extra Controller *NEW* FREE SHIP EXPRESS!,True
75000,Brand New,,4910,Microsoft Xbox Series X 1TB Video Game Console - Black - Sealed New,False
74100,Brand New,,7110,Xbox Series X Console - Factory Sealed - Brand New - Fast Shipping,False
65600,Pre-Owned,,1500,Microsoft Xbox Series X 1TB Video Game Console - Black,False
