price,status,items_sold,shipping,name,free_returns
3600,Brand New,,4000,ADIDAS Brazuca Power Orange Official Match Ball | World Cup 2014 Soccer | size.5,False
4500,Brand New,,3000,Adidas World Cup  Brazuca Ball 2014 Size  5,False
4595,Brand New,,0,New Brazil World Cup 2014 Brazuca Soccer Ball Size 5,False
4000,Brand New,,0,Adidas Brazuca Official Final RIO Soccer Match Ball -FIFA World Cup 2014*,False
3999,Brand New,,0,NEW ADIDAS BRAZUCA OFFICAL SOCCER  BALL FIFA WORLDCUP 2014 SIZE 5 MATCH BALL ,False
4599,Brand New,,0,ADIDAS BRAZUCA OFFICIAL FINAL RIO SOCCER MATCH BALL - FIFA WORLD CUP 2014,False
4198,Brand New,,0,ADIDAS BRAZUCA MATCH BALL FIFA WORLD CUP 2014 BRASIL QUALITY SOCCER BALL SIZE 5,False
3898,Brand New,,398,ADIDAS BRAZUCA OFFICIAL SOCCER MATCH BALL FIFA WORLD CUP 2014 BRASIL BALL SIZE 5,False
3999,Brand New,,399,ADIDAS BRAZUCA SOCCER BALL SIZE 5 MATCH BALL REPLICA CAPITANO,False
5362,New (Other),,0,BRAZUCA BRAZIL Air-Filled Gift WORLD CUP 2014 Official Match Football  SIZE 5,False
5000,Brand New,,0,ADIDAS BRAZUCA FOOTBALL World Cup 2014 SOCCER Match Ball Size 5 Night Ball,False
,,,,,False
5362,New (Other),,0,BRAZUCA  BRAZIL Official Match Football  SIZE 5 Air-Filled Gift WORLD CUP 2014,False
3700,Brand New,,4000,Adidas Brazuca Football | Official Match Ball | World Cup 2014 Soccer | No.5,False
3400,Brand New,,1200,ADIDAS BRAZUCA FOOTBALL World Cup 2014 SOCCER Match Thermal Bonded Ball Size 5,False
7999,New (Other),,2299,Adidas Brazuca Official Final RIO Soccer Match Ball - FIFA World Cup 2014,False
3900,Brand New,,399,ADIDAS BRAZUCA OFFICIAL FINAL SOCCER MATCH BALL FIFA WORLD CUP 2014 FOOTBALL,False
3700,Brand New,,4000,Adidas Brazuca Final Rio | Official Match Football | FIFA World Cup Soccer 2014,False
3600,Brand New,,4000,ADIDAS  Brazuca Football | Official Match Ball | World Cup 2014 Soccer | size.5,False
